,0,1,2,3
266,Тайӧ мӧвпсӧ вӧзйисны Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысьлӧн экологическӧй организацияясӧс петкӧдлысьяскӧд аддзысьлігӧн.,Такое предложение прозвучало на встрече врио Главы Республики Коми с представителями экологических организаций.,,
267,"Аддзысьлӧмыс вӧлі моз тӧлысь 31 лунӧ В. Уйбалӧн водзмӧстчӧм серти шыӧдчӧмъяс вылӧ вочавидзӧм могысь, кутшӧмъяс воисны экология вӧсна тӧждысьысьяссянь.","Встреча состоялась 31 августа по инициативе В. Уйба в ответ на обращения, поступившие от экологических общественников.",,
268,"“Колӧ торйӧн ёна видзны пармалысь, тундралысь, ю-тыяслысь аслыспӧлӧс да кокниа торкны позяна экосистемасӧ, быдмӧгъясӧс да пемӧсъясӧс.","«Вопросы сохранения уникальной и хрупкой экосистемы тайги и тундры, охраны рек и озер, растительного и животного мира, воспроизводства лесов.",,
269,"Миян республикаын ыджыд тӧдчанлун босьтӧ вӧръяс рӧдмӧдӧм, – пасйис Владимир Уйба аддзысьлӧмын участвуйтысьясӧс чолӧмалігӧн.","Для нашей республики имеют колоссальное значение, - подчеркнул Владимир Уйба, приветствуя участников встречи.",,
270,Республикалӧн озыр вӧр-ваӧн колӧ вӧдитчыны видзчысьӧмӧн да сы понда тӧждысьӧмӧн.,Поэтому надо бережно и рачительно использовать богатые ресурсы республики.,,
271,"Колӧ мӧвпавны сы йылысь, мый ми колям асланым челядьлы да внукъяслы.","Важно, что мы оставим после себя нашим детям и внукам, ",,
272,"Та вӧсна колӧ лӧсьӧдны экологическӧй стандарт, медым урчитны экологическӧй безопасносьтлысь правилӧяс.","В связи с этим назрела необходимость разработки экологического стандарта, призванного регламентировать правила экологической безопасности.",,
273,Тайӧ правилӧясӧ ковмас зумыда кутчысьны республикаса став предприятиелы”.,"Обязательные к исполнению всеми предприятиями, работающими на территории республики».",,
274,"Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь тӧдчӧдіс, мый тайӧ документсӧ дасьтӧмӧ колӧ пырӧдчыны республикаса став колана власьт органлы, предприятиелы да экология организациялы.","По мнению врио Главы Республики Коми, к разработке такого документа должны подключиться все заинтересованные органы власти, предприятия республики и экологические организации.",,
275,"Аддзысьлігӧн нӧшта сёрнитісны экология да гӧгӧртас видзан юкӧнын проектъяс збыльмӧдӧм, республикаын ёг торйӧн чукӧртӧм, экология велӧдӧм, школаса лесничествояслӧн уджалӧм йылысь.","На встрече были обсуждены также вопросы, связанные с реализацией проектов в сфере экологии и охраны окружающей среды, организацией в республике раздельного сбора мусора, внедрением экологического образования, работой школьных лесничеств.",,
276,Владимир Уйбалӧн тшӧктӧм серти республикаса Веськӧдлан котыр видлалас аддзысьлӧм дырйи кыпӧдӧм став вӧзйӧмсӧ.,"По поручению Владимира Уйба все предложения, озвученные в ходе встречи, взяты Правительством республики в проработку.",,
277,На лыдын – Коми Республикаса Юралысь бердын Экологическӧй сӧвет лӧсьӧдӧм.,В их числе – создание Экологического совета при Главе Республики Коми.,,
278,"“Коми Республикаын, кӧні шемӧсмӧдана вӧр-ва, быдмӧны нэмӧвӧйся пуяс, визувтӧны сӧстӧм юяс да тыяс, колӧ быть лӧсьӧдны татшӧм орган, коді кутас анализируйтны, систематизируйтны да ладмӧдны экология юкӧнын нуӧдан став уджсӧ, сы лыдын ӧтйӧза организацияясӧн.","«В Республике Коми, с её удивительной природой, девственными лесами, чистыми реками и озёрами, обязательно должен быть такой орган, который будет анализировать, систематизировать и координировать всю работу, проводимую сегодня, в том числе общественными организациями, в сфере экологии.",,
279,"Ошка тайӧ мӧвпсӧ да вӧзъя збыльмӧдны”, – тӧдчӧдіс Владимир Уйба.","Абсолютно поддерживаю эту идею и предлагаю её реализовать», - отметил Владимир Уйба.",,
280,Коми язык,Русский язык,,
281,Коми Республикаын Роспотребнадзорлӧн веськӧдланін йӧзӧдіс коронавирус серти официальнӧй юӧр ,Официальная информация Управления Роспотребнадзора по Республике Коми по ситуации с коронавирусом ,,
282,"Коми Республикаын Роспотребнадзорлӧн веськӧдланін юӧртіс: талун кежлӧ (кӧч тӧлысь 2 лун вылӧ) лабораторнӧя эскӧдӧма, мый COVІD‑19 висьмӧма 6620 (+28) морт.","По официальной информации Управления Роспотребнадзора по Республике Коми, на сегодняшний день (2 сентября) лабораторно подтверждено 6620 (+28) случаев заболевания COVID-19.",,
283,"Став висьмӧм йӧз бӧрся видзӧдӧны врачьяс, налы сетӧны отсӧг.","Все инфицированные находятся под наблюдением врачей, им оказывается помощь.",,
284,"Ставнас медицина боксянь видзӧдӧны 1385 морт бӧрся, на лыдын: 1364 морт контактируйтӧмаӧсь висьмӧм йӧзкӧд, 21-ыс воӧмаӧсь суйӧр сайысь.","Всего под медицинским наблюдением находится 1385 человек, из них 1364 контактировали с заболевшими, 21 прибыл из-за рубежа.",,
285,5703 (+60) морт бурдіс.,5703 (+60) человека выздоровели.,,
286,Ӧнія кадӧ коронавирусысь некод эз кувсьы.,Новых случаев летального исхода у пациентов с коронавирусом не зарегистрировано.,,
287,Бӧръя суткинас медицина боксянь обследуйтӧм да кык вежонся карантин помасьӧм бӧрын медицина учётысь киритісны 49 мортӧс.,За последние сутки сняты с медицинского учёта по завершении обследований и двухнедельного карантинного срока 49 человек.,,
288,Найӧ коронавирусӧн оз висьны.,В отношении них подозрения на коронавирус не подтвердились.,,
289,"*** Содтӧд дасьлун режим йылысь регионса юрнуӧдысьлӧн Индӧдӧн, вына дзескӧдӧмъясӧн да Коми Республикаын серпас йылысь выль юӧрӧн позьӧ тӧдмасьны Коми Республикалӧн официальнӧй порталын “Коронавирус.","*** Ознакомиться с Указом Главы Республики Коми о режиме повышенной готовности, действующими ограничениями и оперативной информацией о ситуации в Республике Коми можно на официальном портале Республики Коми в специальном разделе «Коронавирус.",,
